Asset ID,Asset Type,Floor,Zone,Installation Date,Manufacturer,Operational Time (hrs),Work Orders,Repairs,Last Serviced Date,Failure Probability,Failure_Probability,Predicted_Failure_Next_Month
77,Vending Machine,2,Electronics,2021-04-04,Manufacturer_D,8910,1,2,2021-07-26,0.00034,0.03663283762032235,0
78,Vending Machine,5,Parking,2023-07-09,Manufacturer_B,9410,8,3,2023-08-01,0.00117,0.9642774852088521,1
79,Elevator,4,Electronics,2019-12-20,Manufacturer_B,9928,1,1,2020-09-07,0.0002,5.6214814614086765e-05,0
80,Water Fountain,3,Parking,2020-09-24,Manufacturer_B,491,6,2,2022-07-19,0.01629,0.02826706007434308,0
81,Automatic Door,5,Fashion,2020-05-11,Manufacturer_B,321,0,5,2021-04-08,0.01558,0.9999998986553812,1
82,ATM,2,Parking,2019-05-30,Manufacturer_D,1189,0,3,2021-04-03,0.00252,0.954086890892151,1
83,Water Fountain,4,Fashion,2020-01-23,Manufacturer_B,4116,2,5,2020-05-04,0.0017,0.9999999101834619,1
84,Vending Machine,1,Food Court,2019-06-22,Manufacturer_C,629,6,0,2023-01-27,0.00954,5.985460073588947e-08,0
85,Escalator,5,Entertainment,2018-11-28,Manufacturer_D,291,10,0,2023-07-03,0.03436,5.921430035567406e-08,0
86,Automatic Door,2,Parking,2018-12-27,Manufacturer_B,3411,7,3,2020-03-25,0.00293,0.9570865511358647,1
87,Vending Machine,3,Parking,2021-11-03,Manufacturer_C,3515,0,5,2023-02-02,0.00142,0.9999999084492864,1
88,Automatic Door,2,Parking,2018-09-23,Manufacturer_C,2385,10,5,2019-09-25,0.00629,0.9999999050975151,1
89,Information Board,1,Entertainment,2022-03-22,Manufacturer_C,4319,10,0,2023-09-09,0.00232,6.731175151263512e-08,0
90,Escalator,3,Food Court,2021-07-16,Manufacturer_C,3059,6,2,2023-01-21,0.00262,0.030600229877443062,0
91,Water Fountain,1,Parking,2023-06-20,Manufacturer_B,1185,2,2,2023-09-03,0.00338,0.028880003041150112,0
92,Information Board,2,Food Court,2021-10-16,Manufacturer_C,6416,6,2,2023-04-30,0.00125,0.03393287045761834,0
93,Vending Machine,5,Entertainment,2022-06-11,Manufacturer_A,3985,0,5,2022-11-21,0.00125,0.9999999098082849,1
94,Information Board,4,Entertainment,2019-09-18,Manufacturer_B,6068,3,5,2020-12-16,0.00132,0.9999999155925137,1
95,Escalator,3,Parking,2022-02-19,Manufacturer_C,4127,5,1,2022-03-02,0.00145,4.6740022724488926e-05,0
96,Automatic Door,4,Entertainment,2021-10-02,Manufacturer_D,7545,10,0,2022-10-05,0.00133,7.458853411289453e-08,0
97,Elevator,4,Entertainment,2019-08-22,Manufacturer_A,9013,3,1,2022-07-10,0.00044,5.460177854958478e-05,0
98,Elevator,3,Parking,2020-05-11,Manufacturer_B,189,6,2,2020-11-21,0.04233,0.028004293690589002,0
99,ATM,2,Electronics,2022-10-09,Manufacturer_A,2628,1,5,2022-10-29,0.00228,0.9999999058285007,1
100,Automatic Door,4,Entertainment,2019-03-27,Manufacturer_D,1378,6,3,2022-05-04,0.00653,0.9543496172587583,1
101,Water Fountain,4,Food Court,2020-07-09,Manufacturer_C,2182,2,4,2021-10-31,0.00275,0.9999332693155655,1
102,Escalator,5,Electronics,2018-10-08,Manufacturer_B,7951,8,3,2020-11-23,0.00138,0.9626433579835125,1
103,Water Fountain,3,Parking,2020-09-26,Manufacturer_A,9759,9,4,2022-10-12,0.00133,0.999947564831791,1
104,Information Board,2,Entertainment,2019-08-30,Manufacturer_D,1890,2,2,2022-01-07,0.00212,0.029515858113194123,0
105,Vending Machine,1,Parking,2018-11-14,Manufacturer_C,2354,7,5,2023-03-20,0.0051,0.9999999050038547,1
106,ATM,5,Parking,2023-05-30,Manufacturer_C,4395,1,5,2023-09-13,0.00137,0.9999999109773091,1
107,Escalator,2,Fashion,2019-01-03,Manufacturer_A,7508,9,4,2020-01-25,0.00173,0.9999436714847406,1
108,Elevator,4,Electronics,2021-06-04,Manufacturer_B,224,6,2,2022-01-30,0.03571,0.028034624796448783,0
109,ATM,1,Electronics,2018-10-29,Manufacturer_D,3457,8,5,2020-03-21,0.00376,0.9999999082801672,1
110,Vending Machine,3,Electronics,2022-12-01,Manufacturer_B,770,5,2,2023-05-18,0.00909,0.028511940717861402,0
111,Water Fountain,1,Food Court,2021-03-31,Manufacturer_C,1203,6,0,2021-12-23,0.00499,6.095787760403032e-08,0
112,Automatic Door,3,Parking,2021-09-26,Manufacturer_C,507,4,3,2022-12-21,0.01381,0.9531268369973084,1
113,Kiosk,5,Electronics,2019-08-05,Manufacturer_B,1810,5,1,2021-10-31,0.00331,4.341811416457153e-05,0
114,Escalator,3,Electronics,2019-08-24,Manufacturer_A,1241,2,4,2020-04-30,0.00483,0.9999312411356194,1
115,Elevator,5,Food Court,2023-01-24,Manufacturer_A,5820,3,4,2023-07-31,0.0012,0.9999405633947792,1
116,Automatic Door,1,Electronics,2020-04-19,Manufacturer_C,2048,7,3,2020-05-02,0.00488,0.9552694879901363,1
117,Escalator,3,Fashion,2020-04-20,Manufacturer_B,7082,7,3,2021-01-13,0.00141,0.9616361488672123,1
118,Water Fountain,5,Parking,2020-08-24,Manufacturer_A,852,0,4,2022-07-05,0.00469,0.9999303848047149,1
119,Vending Machine,3,Entertainment,2021-04-11,Manufacturer_C,1110,2,3,2022-10-07,0.0045,0.9539766480405836,1
120,ATM,4,Food Court,2021-08-17,Manufacturer_B,6361,7,1,2022-01-06,0.00126,5.018337022255539e-05,0
121,Escalator,2,Entertainment,2020-07-03,Manufacturer_D,2260,3,4,2022-09-20,0.0031,0.999933434723124,1
122,Vending Machine,5,Electronics,2022-06-06,Manufacturer_D,2724,3,3,2023-02-19,0.0022,0.956179674577745,1
123,Elevator,5,Entertainment,2019-06-11,Manufacturer_A,3643,5,0,2022-03-23,0.00137,6.587930663985723e-08,0
124,Vending Machine,2,Fashion,2023-03-24,Manufacturer_A,3043,2,5,2023-06-01,0.0023,0.9999999070638965,1
125,ATM,1,Food Court,2022-02-26,Manufacturer_D,7997,8,0,2022-04-15,0.001,7.566907277201649e-08,0
126,Automatic Door,5,Entertainment,2019-06-06,Manufacturer_D,2081,4,0,2020-04-22,0.00192,6.268494013311255e-08,0
127,Kiosk,2,Parking,2019-03-30,Manufacturer_C,4149,2,1,2019-12-16,0.00072,4.6772752741412346e-05,0
128,ATM,2,Fashion,2021-03-09,Manufacturer_D,1329,10,1,2022-09-29,0.00828,4.2758665379379e-05,0
129,Escalator,3,Food Court,2021-12-16,Manufacturer_A,78,8,3,2022-01-30,0.14103,0.9525131836744529,1
130,ATM,1,Food Court,2021-07-21,Manufacturer_D,4590,7,2,2021-08-09,0.00196,0.03207887657716579,0
131,Escalator,4,Fashion,2019-01-20,Manufacturer_B,5520,3,2,2022-01-20,0.00091,0.03301056047801531,0
132,Kiosk,3,Food Court,2023-02-22,Manufacturer_A,5994,7,5,2023-04-16,0.002,0.9999999153935257,1
133,Elevator,3,Electronics,2020-10-19,Manufacturer_B,77,5,0,2023-07-28,0.06494,5.881244899621494e-08,0
134,Kiosk,2,Fashion,2021-01-24,Manufacturer_B,8912,7,4,2021-02-04,0.00123,0.9999461324749166,1
135,Automatic Door,5,Fashion,2019-05-01,Manufacturer_C,3887,0,3,2022-05-06,0.00077,0.9577043539819797,1
136,Information Board,2,Food Court,2021-06-28,Manufacturer_D,6369,8,1,2023-07-27,0.00141,5.019614596686352e-05,0
137,Information Board,2,Fashion,2022-12-11,Manufacturer_B,8190,6,4,2023-08-04,0.00122,0.999944880655927,1
138,Vending Machine,5,Entertainment,2020-08-22,Manufacturer_C,6615,8,1,2021-03-31,0.00136,5.059059175047788e-05,0
139,Kiosk,2,Parking,2019-11-02,Manufacturer_D,7340,8,5,2023-04-13,0.00177,0.9999999189407146,1
140,ATM,1,Entertainment,2022-12-08,Manufacturer_A,3988,4,1,2023-01-13,0.00125,4.653375734433876e-05,0
141,Escalator,2,Food Court,2021-03-08,Manufacturer_A,7196,7,0,2022-08-07,0.00097,7.376479223386294e-08,0
142,ATM,2,Electronics,2019-08-31,Manufacturer_D,2722,4,3,2023-06-27,0.00257,0.956177007960816,1
143,Information Board,4,Electronics,2019-11-06,Manufacturer_C,2696,6,0,2021-12-15,0.00223,6.392372987840825e-08,0
144,Elevator,1,Electronics,2023-04-17,Manufacturer_D,2087,3,4,2023-08-20,0.00335,0.9999330673024247,1
145,Vending Machine,4,Electronics,2021-02-08,Manufacturer_D,2329,10,3,2022-03-09,0.00558,0.9556500030120375,1
146,Vending Machine,3,Entertainment,2022-10-31,Manufacturer_B,5266,8,5,2023-04-27,0.00247,0.9999999134107307,1
147,Elevator,2,Fashion,2020-10-07,Manufacturer_D,1600,6,0,2021-05-31,0.00375,6.173281972262656e-08,0
148,Elevator,5,Entertainment,2021-05-19,Manufacturer_C,5450,10,1,2021-05-28,0.00202,4.874959705473878e-05,0
149,Information Board,5,Electronics,2020-04-13,Manufacturer_C,9455,8,1,2021-07-07,0.00095,5.537510984174214e-05,0
150,Elevator,1,Entertainment,2022-02-11,Manufacturer_A,3574,0,5,2022-10-13,0.0014,0.9999999086210017,1
151,Escalator,1,Parking,2018-12-25,Manufacturer_A,7791,10,2,2019-10-06,0.00154,0.03539676693962854,0
152,Automatic Door,3,Entertainment,2019-07-11,Manufacturer_A,8288,7,5,2020-10-01,0.00145,0.9999999213494002,1
153,Kiosk,4,Parking,2021-11-12,Manufacturer_C,452,0,3,2022-02-05,0.00664,0.9530485868793229,1
154,ATM,2,Electronics,2018-10-15,Manufacturer_C,1472,9,5,2020-04-05,0.00951,0.9999999022999835,1
155,ATM,3,Entertainment,2022-02-14,Manufacturer_D,8107,9,4,2022-10-11,0.0016,0.9999447348971614,1
156,Automatic Door,1,Electronics,2022-04-02,Manufacturer_A,3956,4,0,2023-02-10,0.00101,6.65387246000583e-08,0
157,Elevator,1,Food Court,2021-01-04,Manufacturer_C,5672,2,2,2021-02-23,0.00071,0.0331653003844035,0
158,Information Board,5,Parking,2023-01-18,Manufacturer_A,4843,10,2,2023-07-02,0.00248,0.032329787336792995,0
159,Kiosk,4,Fashion,2020-10-28,Manufacturer_A,2948,7,3,2023-05-12,0.00339,0.9564773578190363,1
160,Water Fountain,3,Parking,2019-07-27,Manufacturer_B,9437,9,3,2022-04-22,0.00127,0.9643070678886664,1
161,Escalator,4,Food Court,2020-03-09,Manufacturer_D,349,4,0,2021-05-08,0.01146,5.9323685492495394e-08,0
162,Elevator,3,Electronics,2021-04-15,Manufacturer_B,9961,6,0,2022-09-04,0.0006,8.054889548849714e-08,0
163,ATM,2,Food Court,2021-01-08,Manufacturer_A,220,7,4,2021-12-22,0.05,0.9999289707460535,1
164,Water Fountain,4,Electronics,2020-08-21,Manufacturer_D,602,0,4,2022-05-24,0.00664,0.9999298288427737,1
165,Kiosk,4,Parking,2021-07-10,Manufacturer_C,7764,5,0,2022-05-06,0.00064,7.5110128815991e-08,0
166,Automatic Door,3,Food Court,2019-04-18,Manufacturer_C,9784,8,0,2023-08-01,0.00082,8.00965051662759e-08,0
167,Elevator,3,Fashion,2018-09-22,Manufacturer_D,8665,4,3,2020-05-19,0.00081,0.9634518482867456,1
168,Kiosk,5,Entertainment,2022-08-04,Manufacturer_D,5335,1,0,2023-05-19,0.00019,6.952345359974878e-08,0
169,ATM,1,Food Court,2022-07-17,Manufacturer_B,3546,6,3,2023-08-08,0.00254,0.9572626387249431,1
170,Vending Machine,3,Entertainment,2021-09-06,Manufacturer_C,5330,0,0,2023-02-22,0.0,6.951239322897804e-08,0
171,ATM,5,Food Court,2021-01-31,Manufacturer_D,8563,3,1,2023-01-01,0.00047,5.382554357381113e-05,0
172,Automatic Door,3,Entertainment,2021-02-22,Manufacturer_C,4361,0,0,2021-10-22,0.0,6.740177033203587e-08,0
173,Escalator,5,Food Court,2022-09-23,Manufacturer_A,1019,9,2,2023-07-14,0.01079,0.028732228124580605,0
174,Water Fountain,4,Electronics,2022-04-07,Manufacturer_B,9041,1,4,2023-09-08,0.00055,0.9999463531256183,1
175,Elevator,5,Entertainment,2020-11-03,Manufacturer_D,1498,9,4,2021-09-19,0.00868,0.9999318011001855,1
176,Automatic Door,4,Entertainment,2023-04-17,Manufacturer_D,3664,1,4,2023-08-27,0.00136,0.9999363429284606,1
177,Vending Machine,3,Fashion,2021-08-08,Manufacturer_B,2822,0,4,2022-04-30,0.00142,0.9999346144490827,1
178,Automatic Door,5,Food Court,2021-02-27,Manufacturer_A,3285,2,4,2023-07-13,0.00183,0.9999355706352773,1
179,ATM,5,Food Court,2022-02-17,Manufacturer_D,4565,2,5,2022-08-20,0.00153,0.9999999114575714,1
180,Elevator,3,Electronics,2019-08-28,Manufacturer_C,3017,4,1,2020-11-04,0.00166,4.511803311775119e-05,0
181,Water Fountain,4,Fashion,2019-10-21,Manufacturer_B,2456,6,1,2022-07-29,0.00285,4.4319806628740256e-05,0
182,Vending Machine,4,Parking,2021-04-16,Manufacturer_C,5372,6,2,2022-09-23,0.00149,0.032860562847479693,0
183,Information Board,1,Food Court,2021-01-09,Manufacturer_C,1956,5,2,2021-07-17,0.00358,0.029576075219842346,0
184,ATM,2,Entertainment,2019-03-19,Manufacturer_C,5400,4,0,2023-06-14,0.00074,6.966739866862405e-08,0
185,Vending Machine,2,Entertainment,2023-07-21,Manufacturer_C,6035,5,1,2023-08-09,0.00099,4.966551522533746e-05,0
186,Information Board,4,Fashion,2023-01-29,Manufacturer_C,1962,5,4,2023-04-15,0.00459,0.9999328005636985,1
187,Elevator,3,Entertainment,2019-01-28,Manufacturer_B,189,9,2,2023-01-08,0.0582,0.028004293690589002,0
188,ATM,2,Food Court,2021-01-23,Manufacturer_B,2248,10,1,2022-02-25,0.00489,4.40274529426328e-05,0
189,Escalator,4,Entertainment,2021-04-09,Manufacturer_C,3873,9,0,2023-07-01,0.00232,6.636322259549765e-08,0
190,Kiosk,3,Electronics,2022-02-17,Manufacturer_D,960,0,2,2023-05-14,0.00208,0.02867988266508994,0
191,Automatic Door,2,Parking,2020-09-21,Manufacturer_A,7075,2,3,2020-11-17,0.00071,0.9616279306314399,1
192,Information Board,4,Fashion,2022-02-23,Manufacturer_B,2762,6,5,2023-02-03,0.00398,0.9999999062291843,1
193,Elevator,1,Fashion,2019-01-29,Manufacturer_B,5431,5,5,2021-11-30,0.00184,0.9999999138641619,1
194,Elevator,5,Food Court,2019-08-07,Manufacturer_B,6717,7,5,2023-01-11,0.00179,0.9999999173177632,1
195,Water Fountain,1,Food Court,2020-11-04,Manufacturer_A,1919,8,3,2021-04-05,0.00573,0.9550937627430515,1
196,Vending Machine,2,Fashion,2022-07-02,Manufacturer_D,4165,5,0,2023-07-13,0.0012,6.698270988060837e-08,0
197,Kiosk,5,Fashion,2018-10-13,Manufacturer_B,208,1,1,2022-03-19,0.00962,4.1260388625030846e-05,0
198,Kiosk,1,Entertainment,2020-06-19,Manufacturer_B,4733,7,5,2022-03-24,0.00254,0.9999999119296381,1
199,Information Board,1,Fashion,2020-11-14,Manufacturer_D,6771,9,3,2023-03-14,0.00177,0.9612693894279525,1
200,Information Board,4,Electronics,2023-02-10,Manufacturer_B,5465,5,1,2023-08-30,0.0011,4.8772869803337754e-05,0
201,Escalator,5,Food Court,2020-05-29,Manufacturer_D,6853,3,2,2022-03-10,0.00073,0.034391676345988324,0
202,ATM,2,Electronics,2023-06-06,Manufacturer_D,940,1,4,2023-08-27,0.00532,0.9999305794534478,1
203,Automatic Door,5,Entertainment,2020-06-27,Manufacturer_D,7035,4,4,2022-08-29,0.00114,0.9999428173234136,1
204,Vending Machine,1,Parking,2020-08-17,Manufacturer_C,7403,1,2,2022-11-22,0.00041,0.03497762855815288,0
205,ATM,2,Parking,2022-12-16,Manufacturer_D,4353,2,1,2023-06-14,0.00069,4.707734292927798e-05,0
206,ATM,1,Food Court,2022-01-19,Manufacturer_B,4421,9,5,2023-03-26,0.00317,0.9999999110509296,1
207,ATM,2,Entertainment,2022-02-26,Manufacturer_C,1880,5,5,2022-03-20,0.00532,0.9999999035601894,1
208,Kiosk,3,Food Court,2021-12-18,Manufacturer_C,5103,7,4,2022-05-26,0.00216,0.9999391918394994,1
209,Kiosk,4,Fashion,2020-10-02,Manufacturer_A,637,1,4,2020-11-15,0.00785,0.999929906943909,1
210,Kiosk,2,Fashion,2022-10-29,Manufacturer_B,5377,8,5,2023-07-05,0.00242,0.9999999137160281,1
211,Escalator,1,Entertainment,2021-06-27,Manufacturer_B,6599,2,1,2022-07-16,0.00045,5.0564842763165595e-05,0
212,Kiosk,4,Parking,2020-07-18,Manufacturer_D,560,10,2,2023-07-23,0.02143,0.028327431224692647,0
213,Elevator,5,Electronics,2022-07-14,Manufacturer_D,3079,2,3,2022-09-21,0.00162,0.9566505538539976,1
214,Vending Machine,5,Food Court,2022-03-19,Manufacturer_D,7943,0,4,2022-05-19,0.0005,0.9999444457577429,1
215,Elevator,3,Food Court,2020-02-16,Manufacturer_B,6194,3,5,2023-05-06,0.00129,0.9999999159302551,1
216,Elevator,2,Food Court,2019-08-28,Manufacturer_C,5801,3,2,2020-12-26,0.00086,0.03329717500016062,0
217,Escalator,5,Electronics,2021-08-03,Manufacturer_D,6579,0,5,2023-02-09,0.00076,0.9999999169538916,1
218,Elevator,1,Food Court,2020-08-13,Manufacturer_C,8763,6,3,2021-02-10,0.00103,0.9635614953191322,1
219,ATM,1,Entertainment,2023-03-16,Manufacturer_B,2969,7,3,2023-03-25,0.00337,0.9565051664554896,1
220,Water Fountain,1,Fashion,2023-08-24,Manufacturer_A,4032,0,4,2023-08-29,0.00099,0.9999370839482297,1
221,Kiosk,5,Entertainment,2020-04-15,Manufacturer_A,559,10,4,2021-03-15,0.02504,0.9999297327708144,1
222,Information Board,2,Fashion,2021-03-18,Manufacturer_D,9298,3,4,2023-03-19,0.00075,0.999946790026363,1
223,Water Fountain,1,Food Court,2019-10-01,Manufacturer_D,6127,4,2,2022-08-18,0.00098,0.03363269980760396,0
224,Vending Machine,2,Electronics,2020-05-30,Manufacturer_D,3157,5,4,2020-11-03,0.00285,0.9999353076972609,1
225,Vending Machine,1,Parking,2020-05-08,Manufacturer_C,3630,0,2,2021-09-26,0.00055,0.031143823591571654,0
